timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1545420802025,404,Open Login Page,200,OK,Thread Group 1-314,text,true,,10785,152,527,527,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,404,0,209
1545420801936,589,Open Login Page,200,OK,Thread Group 1-251,text,true,,10785,152,578,578,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,589,0,297
1545420801803,694,Open Login Page,200,OK,Thread Group 1-25,text,true,,10785,152,553,553,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,694,0,424
1545420802170,259,Open Login Page,200,OK,Thread Group 1-406,text,true,,10785,152,527,527,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,259,0,63
1545420802175,254,Open Login Page,200,OK,Thread Group 1-383,text,true,,10785,152,527,527,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,254,0,58
1545420801938,635,Open Login Page,200,OK,Thread Group 1-254,text,true,,10785,152,601,601,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,634,0,295
1545420801984,511,Open Login Page,200,OK,Thread Group 1-282,text,true,,10785,152,551,551,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,511,0,250
1545420801943,486,Open Login Page,200,OK,Thread Group 1-256,text,true,,10785,152,527,527,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,486,0,284
1545420802025,404,Open Login Page,200,OK,Thread Group 1-281,text,true,,10785,152,527,527,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,404,0,208
1545420802672,321,Login as Pedro,200,OK,Thread Group 1-256,text,true,,11815,574,827,827,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,114,0,0
1545420802672,114,Login as Pedro-0,303,See Other,Thread Group 1-256,text,true,,521,266,827,827,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,114,0,0
1545420802789,76,Login as Pedro-1,303,See Other,Thread Group 1-256,text,true,,509,156,827,827,http://cityrunning.westeurope.cloudapp.azure.com:8080/my_events,76,0,0
1545420802865,128,Login as Pedro-2,200,OK,Thread Group 1-256,text,true,,10785,152,827,827,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,128,0,0
1545420802672,335,Login as Pedro,200,OK,Thread Group 1-282,text,true,,11815,574,841,841,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,170,0,0
1545420802672,170,Login as Pedro-0,303,See Other,Thread Group 1-282,text,true,,521,266,841,841,http://cityrunning.westeurope.cloudapp.azure.com:8080/login,170,0,0
1545420802842,79,Login as Pedro-1,303,See Other,Thread Group 1-282,text,true,,509,156,841,841,http://cityrunning.westeurope.cloudapp.azure.com:8080/my_events,79,0,0
